seriesKey,seriesName,x,yLeft_1,yLeft_2,yRight_1,yRight_2,yRight_3
30148,Covington UCC,4074002,3,8,1,1,0
30148,Covington UCC,4074003,10,14,2,2,1
30148,Covington UCC,4074004,17,21,1,1,0
30148,Covington UCC,4074005,17,21,1,1,1
30148,Covington UCC,4074015,4,8,1,1,0
30148,Covington UCC,4074016,4,8,1,1,1
30148,Covington UCC,4074018,18,21,1,1,0
30148,Covington UCC,4074019,18,21,1,1,0
30148,Covington UCC,4074020,18,21,1,1,1
30148,Covington UCC,4074021,7,9,1,1,0
30148,Covington UCC,4074022,5,9,3,2,2
30148,Covington UCC,4074023,6,10,1,1,1
30148,Covington UCC,4074024,9,13,1,1,0
30148,Covington UCC,4074025,9,13,1,1,1
30148,Covington UCC,4074027,11,15,3,3,2
30148,Covington UCC,4074028,27,27,1,1,0
30148,Covington UCC,4074029,27,27,1,1,1
30148,Covington UCC,4074030,7,27,1,1,0
30148,Covington UCC,4074031,8,22,2,2,1
30148,Covington UCC,4074032,10,17,1,1,1
30148,Covington UCC,4074033,2,10,1,1,1
30148,Covington UCC,4074034,3,8,1,1,1
30148,Covington UCC,4074036,16,20,3,3,1
30148,Covington UCC,4074037,23,28,3,3,0
30148,Covington UCC,4074038,18,26,6,6,1
30148,Covington UCC,4074039,20,31,6,6,3
30148,Covington UCC,4074040,23,46,4,4,2
30148,Covington UCC,4074041,28,48,4,4,0
30148,Covington UCC,4074042,28,48,4,4,2
30148,Covington UCC,4074043,31,35,5,5,0
30148,Covington UCC,4074044,31,35,5,5,1
30148,Covington UCC,4074045,32,36,5,5,2
30148,Covington UCC,4074046,31,35,4,4,1
30148,Covington UCC,4074047,29,33,5,5,1
30148,Covington UCC,4074048,28,41,5,5,3
30148,Covington UCC,4074049,34,53,3,3,0
30148,Covington UCC,4074050,26,43,5,5,0
30148,Covington UCC,4074051,19,38,7,7,5
30148,Covington UCC,4074052,30,33,3,3,1
30148,Covington UCC,4074053,26,61,4,4,1
30148,Covington UCC,4074054,19,56,4,4,0
30148,Covington UCC,4074055,17,48,5,5,4
30148,Covington UCC,4074056,7,16,1,1,1
30148,Covington UCC,4074057,11,13,2,2,1
30148,Covington UCC,4074058,18,21,1,1,0
30148,Covington UCC,4074059,6,25,4,4,3
30148,Covington UCC,4074060,14,34,3,3,1
30148,Covington UCC,4074061,21,28,2,2,1
30148,Covington UCC,4074062,29,46,2,2,0
30148,Covington UCC,4074063,24,35,3,3,1
30148,Covington UCC,4074064,20,27,3,3,1
30148,Covington UCC,4074065,24,60,3,3,1
30148,Covington UCC,4074066,24,56,3,3,1
30148,Covington UCC,4074067,24,72,2,2,0
30148,Covington UCC,4074068,24,72,2,2,1
30148,Covington UCC,4074069,22,25,2,2,1
30148,Covington UCC,4074070,17,20,3,3,0
30148,Covington UCC,4074071,16,19,4,4,2
30148,Covington UCC,4074072,15,18,3,3,1
30148,Covington UCC,4074073,11,13,2,2,2
30148,Covington UCC,4074075,18,19,1,1,0
30148,Covington UCC,4074076,12,16,3,3,0
30148,Covington UCC,4074077,11,17,4,4,3
30148,Covington UCC,4074078,10,41,3,3,2
30148,Covington UCC,4074079,20,23,1,1,0
30148,Covington UCC,4074080,20,23,1,1,1
30148,Covington UCC,4074081,9,14,1,1,0
30148,Covington UCC,4074082,12,16,2,2,1
30148,Covington UCC,4074083,12,17,2,2,0
30148,Covington UCC,4074084,11,15,3,3,2
30148,Covington UCC,4074085,6,10,2,2,2
30148,Covington UCC,4074088,1,8,1,1,1
30148,Covington UCC,4074102,9,19,1,1,0
30148,Covington UCC,4074103,8,14,2,2,2
30148,Covington UCC,4074104,6,13,1,1,0
30148,Covington UCC,4074105,6,13,1,1,1
30148,Covington UCC,4074106,9,71,1,1,0
30148,Covington UCC,4074107,9,71,1,1,1
30148,Covington UCC,4074108,7,10,2,2,1
30148,Covington UCC,4074109,10,12,1,1,1
30148,Covington UCC,4074112,20,21,1,1,0
30148,Covington UCC,4074113,20,21,1,1,0
30148,Covington UCC,4074114,20,21,1,1,1
30148,Covington UCC,4074115,9,13,1,1,0
30148,Covington UCC,4074116,8,11,2,2,1
30148,Covington UCC,4074117,7,9,1,1,1
30148,Covington UCC,4074118,3,11,2,2,1
30148,Covington UCC,4074119,3,10,1,1,1
30148,Covington UCC,4074120,2,11,1,1,0
30148,Covington UCC,4074121,7,16,2,2,1
30148,Covington UCC,4074122,9,19,2,2,1
30148,Covington UCC,4074123,7,16,1,1,1
30148,Covington UCC,4074124,0,10,1,1,1
30148,Covington UCC,4074125,40,41,1,1,0
30148,Covington UCC,4074126,40,41,1,1,0
30148,Covington UCC,4074127,33,42,2,2,0
30148,Covington UCC,4074128,28,34,4,4,0
30148,Covington UCC,4074129,28,34,4,4,2
