seriesKey,seriesName,xAxis,yLeft_1,yLeft_2,yRight_1,yRight_2,yRight_3
30148,Covington UCC,40740002,3,8,1,1,0
30148,Covington UCC,40740003,10,14,2,2,1
30148,Covington UCC,40740004,17,21,1,1,0
30148,Covington UCC,40740005,17,21,1,1,1
30148,Covington UCC,40740015,4,8,1,1,0
30148,Covington UCC,40740016,4,8,1,1,1
30148,Covington UCC,40740018,18,21,1,1,0
30148,Covington UCC,40740019,18,21,1,1,0
30148,Covington UCC,40740020,18,21,1,1,1
30148,Covington UCC,40740021,7,9,1,1,0
30148,Covington UCC,40740022,5,9,3,2,2
30148,Covington UCC,40740023,6,10,1,1,1
30148,Covington UCC,40740024,9,13,1,1,0
30148,Covington UCC,40740025,9,13,1,1,1
30148,Covington UCC,40740027,11,15,3,3,2
30148,Covington UCC,40740028,27,27,1,1,0
30148,Covington UCC,40740029,27,27,1,1,1
30148,Covington UCC,40740030,7,27,1,1,0
30148,Covington UCC,40740031,8,22,2,2,1
30148,Covington UCC,40740032,10,17,1,1,1
30148,Covington UCC,40740033,2,10,1,1,1
30148,Covington UCC,40740034,3,8,1,1,1
30148,Covington UCC,40740036,16,20,3,3,1
30148,Covington UCC,40740037,23,28,3,3,0
30148,Covington UCC,40740038,18,26,6,6,1
30148,Covington UCC,40740039,20,31,6,6,3
30148,Covington UCC,40740040,23,46,4,4,2
30148,Covington UCC,40740041,28,48,4,4,0
30148,Covington UCC,40740042,28,48,4,4,2
30148,Covington UCC,40740043,31,35,5,5,0
30148,Covington UCC,40740044,31,35,5,5,1
30148,Covington UCC,40740045,32,36,5,5,2
30148,Covington UCC,40740046,31,35,4,4,1
30148,Covington UCC,40740047,29,33,5,5,1
30148,Covington UCC,40740048,28,41,5,5,3
30148,Covington UCC,40740049,34,53,3,3,0
30148,Covington UCC,40740050,26,43,5,5,0
30148,Covington UCC,40740051,19,38,7,7,5
30148,Covington UCC,40740052,30,33,3,3,1
30148,Covington UCC,40740053,26,61,4,4,1
30148,Covington UCC,40740054,19,56,4,4,0
30148,Covington UCC,40740055,17,48,5,5,4
30148,Covington UCC,40740056,7,16,1,1,1
30148,Covington UCC,40740057,11,13,2,2,1
30148,Covington UCC,40740058,18,21,1,1,0
30148,Covington UCC,40740059,6,25,4,4,3
30148,Covington UCC,40740060,14,34,3,3,1
30148,Covington UCC,40740061,21,28,2,2,1
30148,Covington UCC,40740062,29,46,2,2,0
30148,Covington UCC,40740063,24,35,3,3,1
30148,Covington UCC,40740064,20,27,3,3,1
30148,Covington UCC,40740065,24,60,3,3,1
30148,Covington UCC,40740066,24,56,3,3,1
30148,Covington UCC,40740067,24,72,2,2,0
30148,Covington UCC,40740068,24,72,2,2,1
30148,Covington UCC,40740069,22,25,2,2,1
30148,Covington UCC,40740070,17,20,3,3,0
30148,Covington UCC,40740071,16,19,4,4,2
30148,Covington UCC,40740072,15,18,3,3,1
30148,Covington UCC,40740073,11,13,2,2,2
30148,Covington UCC,40740075,18,19,1,1,0
30148,Covington UCC,40740076,12,16,3,3,0
30148,Covington UCC,40740077,11,17,4,4,3
30148,Covington UCC,40740078,10,41,3,3,2
30148,Covington UCC,40740079,20,23,1,1,0
30148,Covington UCC,40740080,20,23,1,1,1
30148,Covington UCC,40740081,9,14,1,1,0
30148,Covington UCC,40740082,12,16,2,2,1
30148,Covington UCC,40740083,12,17,2,2,0
30148,Covington UCC,40740084,11,15,3,3,2
30148,Covington UCC,40740085,6,10,2,2,2
30148,Covington UCC,40740088,1,8,1,1,1
30148,Covington UCC,40741002,9,19,1,1,0
30148,Covington UCC,40741003,8,14,2,2,2
30148,Covington UCC,40741004,6,13,1,1,0
30148,Covington UCC,40741005,6,13,1,1,1
30148,Covington UCC,40741006,9,71,1,1,0
30148,Covington UCC,40741007,9,71,1,1,1
30148,Covington UCC,40741008,7,10,2,2,1
30148,Covington UCC,40741009,10,12,1,1,1
30148,Covington UCC,40741012,20,21,1,1,0
30148,Covington UCC,40741013,20,21,1,1,0
30148,Covington UCC,40741014,20,21,1,1,1
30148,Covington UCC,40741015,9,13,1,1,0
30148,Covington UCC,40741016,8,11,2,2,1
30148,Covington UCC,40741017,7,9,1,1,1
30148,Covington UCC,40741018,3,11,2,2,1
30148,Covington UCC,40741019,3,10,1,1,1
30148,Covington UCC,40741020,2,11,1,1,0
30148,Covington UCC,40741021,7,16,2,2,1
30148,Covington UCC,40741022,9,19,2,2,1
30148,Covington UCC,40741023,7,16,1,1,1
30148,Covington UCC,40741024,0,10,1,1,1
30148,Covington UCC,40741025,40,41,1,1,0
30148,Covington UCC,40741026,40,41,1,1,0
30148,Covington UCC,40741027,33,42,2,2,0
30148,Covington UCC,40741028,28,34,4,4,0
30148,Covington UCC,40741029,28,34,4,4,2
30148,Covington UCC,40741030,24,26,5,5,1
30148,Covington UCC,40741031,24,27,4,4,1
30148,Covington UCC,40741032,27,30,5,5,2
30148,Covington UCC,40741033,29,33,4,4,1
30148,Covington UCC,40741034,31,35,3,3,0
30148,Covington UCC,40741035,31,35,3,3,2
30148,Covington UCC,40741036,23,28,2,2,1
30148,Covington UCC,40741037,14,17,2,2,0
30148,Covington UCC,40741038,15,17,3,3,2
30148,Covington UCC,40741039,10,12,3,3,2
30148,Covington UCC,40741040,7,11,2,2,1
30148,Covington UCC,40741041,12,16,2,2,1
30148,Covington UCC,40741042,12,16,2,2,0
30148,Covington UCC,40741043,12,16,2,2,2
30148,Covington UCC,40741044,6,8,1,1,1
30148,Covington UCC,40741051,9,13,1,1,0
30148,Covington UCC,40741052,7,11,2,2,2
30148,Covington UCC,40741053,4,11,2,2,1
30148,Covington UCC,40741054,8,11,1,1,1
30148,Covington UCC,40741057,6,9,3,3,1
30148,Covington UCC,40741058,8,22,3,3,2
30148,Covington UCC,40741059,14,33,2,2,0
30148,Covington UCC,40741060,11,28,3,3,1
30148,Covington UCC,40741061,9,14,4,4,3
30148,Covington UCC,40741062,5,8,2,2,2
30148,Covington UCC,40741063,4,5,1,1,0
30148,Covington UCC,40741064,4,5,1,1,1
30148,Covington UCC,40741065,4,8,1,1,0
30148,Covington UCC,40741066,4,8,1,1,1
30148,Covington UCC,40741067,0,7,2,2,2
30148,Covington UCC,40741068,4,9,1,1,1
30148,Covington UCC,40741069,5,14,2,2,2
30148,Covington UCC,40741070,7,9,2,2,1
30148,Covington UCC,40741071,4,9,2,2,2
30148,Covington UCC,40741072,5,10,2,2,1
30148,Covington UCC,40741073,5,12,1,1,1
30148,Covington UCC,40741075,7,11,1,1,0
30148,Covington UCC,40741076,7,11,1,1,1
30148,Covington UCC,40741079,5,7,3,3,2
30148,Covington UCC,40741080,3,11,2,2,2
30148,Covington UCC,40741083,3,7,1,1,1
30148,Covington UCC,40741085,5,7,1,1,1
30148,Covington UCC,40741086,4,5,1,1,0
